                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3601,                 5.0271,                 4.2509,                0.00087,                 0.0754,                0.00522,                0.00123,                 3.8018,                 4.8199,                 4.1597,              7.337e-05,              7.337e-05,              7.337e-05
                      2,                  4.204,                 4.9446,                 4.2221,                0.00067,                0.06651,                0.00215,                 0.0007,                 3.8102,                   4.82,                 4.1615,             0.00014733,             0.00014733,             0.00014733
                      3,                 4.2266,                 4.9181,                 4.1731,                0.00113,                0.08079,                0.00333,                0.00111,                 3.8354,                 4.8209,                 4.1659,             0.00021496,             0.00021496,             0.00021496
                      4,                 4.2789,                  4.851,                 4.1184,                0.00141,                0.08651,                0.00507,                0.00122,                 3.8976,                 4.8346,                 4.1765,             0.00027625,             0.00027625,             0.00027625
                      5,                 4.0659,                 4.7739,                 4.0591,                0.00141,                0.06222,                0.00377,                0.00134,                 3.9674,                  4.884,                 4.1836,             0.00033119,             0.00033119,             0.00033119
                      6,                 3.9669,                  4.734,                 4.0194,                0.00186,                0.07651,                0.00242,                0.00108,                 4.1006,                 4.9189,                 4.2092,              0.0003798,              0.0003798,              0.0003798
                      7,                 3.8779,                  4.612,                 3.9103,                0.00282,                0.05968,                0.00194,                 0.0011,                 4.0134,                 4.8824,                 4.1433,             0.00042207,             0.00042207,             0.00042207
                      8,                 3.6931,                 4.4551,                 3.8649,                0.00282,                0.05968,                0.00194,                 0.0011,                 3.8084,                 4.8878,                 4.1397,               0.000458,               0.000458,               0.000458
                      9,                 3.6113,                 4.3137,                 3.7391,                0.00282,                0.05968,                0.00194,                 0.0011,                 3.8046,                 4.9374,                 4.1262,             0.00045569,             0.00045569,             0.00045569
                     10,                 3.5871,                 4.2424,                 3.6415,                0.00059,                0.01111,                0.00256,                0.00026,                 3.3813,                 4.9098,                  3.993,             0.00042928,             0.00042928,             0.00042928
                     11,                 3.4096,                  4.196,                 3.6527,                0.00059,                0.01111,                0.00256,                0.00026,                 3.2347,                 4.8867,                 3.7974,             0.00040287,             0.00040287,             0.00040287
                     12,                  3.337,                 4.0145,                 3.5383,                0.30715,                0.02946,                0.00351,                0.00072,                 3.4679,                 4.9813,                 3.8238,             0.00037645,             0.00037645,             0.00037645
                     13,                 3.3253,                 4.0251,                 3.4848,                0.80872,                0.01429,                0.00361,                0.00075,                 3.4033,                 4.9811,                 3.8272,             0.00035004,             0.00035004,             0.00035004
                     14,                 3.3341,                 4.1541,                 3.4861,                0.70249,                0.01429,                 0.0007,                0.00014,                 3.3096,                 4.9338,                 3.7493,             0.00032363,             0.00032363,             0.00032363
                     15,                 3.2144,                 3.9986,                  3.435,                0.90783,                0.01429,                0.00243,                0.00038,                 3.3243,                 4.8446,                 3.7178,             0.00029722,             0.00029722,             0.00029722
                     16,                 3.1958,                 4.0948,                   3.31,                0.50172,                0.01429,                0.00498,                0.00076,                 3.1534,                 4.7597,                 3.6784,              0.0002708,              0.0002708,              0.0002708
                     17,                 3.1065,                 3.9954,                 3.2507,                0.40057,                0.04762,                 0.0022,                0.00066,                  3.189,                 4.8078,                  3.608,             0.00024439,             0.00024439,             0.00024439
                     18,                  2.962,                 3.9822,                 3.2491,                0.81662,                0.01429,                0.00305,                 0.0011,                  3.152,                 4.8395,                 3.5841,             0.00021798,             0.00021798,             0.00021798
                     19,                 2.8841,                 3.8568,                 3.1973,                0.81221,                0.01429,                0.00378,                0.00128,                  3.135,                 4.8634,                 3.5441,             0.00019156,             0.00019156,             0.00019156
                     20,                 2.9072,                 3.8463,                 3.1914,                0.00021,                0.02857,                 0.0005,                0.00023,                 3.0561,                 4.8679,                  3.496,             0.00016515,             0.00016515,             0.00016515
                     21,                 2.8655,                 3.8462,                 3.1619,                0.00029,                0.04857,                0.00108,                 0.0005,                 3.0155,                  4.846,                 3.4711,             0.00013874,             0.00013874,             0.00013874
                     22,                 2.8204,                 3.8311,                 3.1707,                0.00048,                 0.0819,                0.00228,                 0.0009,                 2.9552,                 4.8034,                 3.4643,             0.00011232,             0.00011232,             0.00011232
                     23,                 2.7675,                 3.7031,                 3.0934,                0.00079,                0.09302,                0.00166,                0.00068,                 2.9471,                 4.7751,                 3.4598,              8.591e-05,              8.591e-05,              8.591e-05
                     24,                  2.776,                 3.6825,                 3.0919,                0.00078,                0.09302,                0.00109,                0.00043,                 2.9386,                 4.7695,                 3.4527,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     25,                 2.7848,                 3.8055,                  3.108,                0.00081,                0.09302,                0.00126,                0.00046,                 2.9278,                 4.7726,                 3.4444,             3.3083e-05,             3.3083e-05,             3.3083e-05
